epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,195.425,0.84282,1.51428,0.77831,1.07612,0.85778,0.81525,0.88556,0.62712,0.83693,0.80059,0.87229,0.5685,0.97942,2.01649,0.80342,1.14595,0.00141267,0.00141267,0.00141267
112,197.218,0.90701,1.7172,0.80866,1.1034,0.82427,0.84164,0.8861,0.62894,0.79268,0.82698,0.87232,0.56284,0.99108,1.9995,0.81982,1.14833,0.00140318,0.00140318,0.00140318
113,198.954,0.91876,1.65633,0.78578,1.09753,0.90346,0.76842,0.87941,0.61224,0.88227,0.74718,0.86045,0.55199,1.02234,2.03766,0.83561,1.15758,0.00139364,0.00139364,0.00139364
114,200.693,0.78082,1.27828,0.6858,1.03467,0.82441,0.78483,0.84996,0.57627,0.79506,0.77713,0.82445,0.51235,1.06883,2.26543,0.89167,1.18208,0.00138406,0.00138406,0.00138406
115,202.394,0.77899,1.30607,0.68976,1.03629,0.81426,0.80059,0.85993,0.59902,0.80205,0.78886,0.84921,0.54108,0.99124,2.20468,0.84489,1.13755,0.00137444,0.00137444,0.00137444
116,204.136,0.96693,1.82297,0.84336,1.15879,0.87171,0.77713,0.87621,0.6333,0.8671,0.78592,0.85858,0.55306,0.90993,2.18886,0.80738,1.08124,0.00136478,0.00136478,0.00136478
117,205.812,0.84815,1.47807,0.73979,1.08382,0.84037,0.78299,0.86656,0.63595,0.80978,0.82405,0.86646,0.56494,0.90641,2.1007,0.8119,1.06846,0.00135509,0.00135509,0.00135509
118,207.542,0.93687,1.58879,0.79324,1.1127,0.83951,0.79767,0.86959,0.63067,0.8383,0.80576,0.85733,0.56252,0.92809,2.07918,0.81045,1.07095,0.00134535,0.00134535,0.00134535
119,209.268,0.89253,1.55605,0.78071,1.09218,0.85136,0.80059,0.8748,0.64227,0.83988,0.80059,0.85288,0.56616,0.91385,2.09468,0.79811,1.07236,0.00133558,0.00133558,0.00133558
120,211.002,0.88179,1.55311,0.77084,1.08227,0.85625,0.76246,0.84494,0.60143,0.82066,0.739,0.82306,0.53456,0.95154,2.06124,0.88261,1.11629,0.00132577,0.00132577,0.00132577
121,212.722,0.85663,1.43684,0.74801,1.07593,0.87259,0.74194,0.85309,0.60731,0.87351,0.72141,0.83392,0.52014,0.94959,2.1154,0.88182,1.13116,0.00131593,0.00131593,0.00131593
122,214.423,0.80624,1.34721,0.69132,1.03919,0.8293,0.78886,0.8492,0.60229,0.82808,0.75367,0.83341,0.55108,0.96881,2.01789,0.88209,1.14097,0.00130605,0.00130605,0.00130605
123,216.103,0.90968,1.54476,0.80096,1.11622,0.84362,0.76246,0.82878,0.57497,0.83335,0.75073,0.81446,0.51578,1.04854,2.18815,0.98007,1.16881,0.00129614,0.00129614,0.00129614
124,217.784,0.80085,1.26974,0.69937,1.02049,0.85126,0.77204,0.84696,0.59888,0.84803,0.7691,0.83956,0.53435,1.00834,2.10212,0.90048,1.14989,0.0012862,0.0012862,0.0012862
